INPUT,COMMON,SCIENTIFIC,QAQC,ACP,ACP_EST,BLSC,BLSC_EST,CRD,CRD_EST,WBPHS,WBPHS_EST,YKD,YKD_EST
AGWT,American Green-winged Teal,Anas crecca carolinensis,GWTE,GWTE,1,GWTE,0,GWTE,0,GWTE,1,GWTE,1
GWTE,Green-winged Teal,Anas crecca,GWTE,GWTE,1,GWTE,0,GWTE,0,GWTE,1,GWTE,1
TEAL,Unidentified Teal,Anas sp.,UNTE,GWTE,1,UNTE,0,UNTE,0,UNTE,1,GWTE,1
UNTE,Unidentified Teal,Anas sp.,UNTE,GWTE,1,UNTE,0,UNTE,0,UNTE,1,GWTE,1
AMRO,American Robin,Turdus migratorius,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
AMWI,American Wigeon,Mareca americana,AMWI,AMWI,1,AMWI,0,AMWI,0,AMWI,1,AMWI,1
WIGE,American Wigeon,Mareca americana,AMWI,AMWI,1,AMWI,0,AMWI,0,AMWI,1,AMWI,1
ARTE,Arctic Tern,Sterna paradisaea,ARTE,ARTE,1,ARTE,0,ARTE,0,ARTE,0,ARTE,0
ARTEN,Arctic Tern,Sterna paradisaea,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RHAU,Rhinoceros Auklet,Cerorhinca monocerata,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WHAU,Whiskered Auklet,Aethia pygmaea,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BAEA,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0,BAEA,0,BAEA,0,BAEA,1,BAEA,0
BAEAI,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0,BAEA,0,BAEA,0,BAEA,1,BAEA,0
BAEAIM,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0,BAEA,0,BAEA,0,BAEA,1,BAEA,0
BEAD,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0,BAEA,0,BAEA,0,BAEA,1,BAEA,0
BEIM,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0,BAEA,0,BAEA,0,BAEA,1,BAEA,0
BA.N,Bald Eagle,Haliaeetus leucocephalus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BAEAN,Bald Eagle,Haliaeetus leucocephalus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BANE,Bald Eagle,Haliaeetus leucocephalus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BE.N,Bald Eagle,Haliaeetus leucocephalus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BENE,Bald Eagle,Haliaeetus leucocephalus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BASW,Barn Swallow,Hirundo rustica,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BEKI,Belted Kingfisher,Megaceryle alcyon,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BLBN,Black Brant,Branta bernicula nigricans,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BLBR,Black Brant,Branta bernicula nigricans,BRAN,BRAN,1,BRAN,0,BRAN,0,BRAN,1,BRAN,1
BLNE,Black Brant,Branta bernicula nigricans,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BR.N,Black Brant,Branta bernicula nigricans,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BRAN,Black Brant,Branta bernicula nigricans,BRAN,BRAN,1,BRAN,0,BRAN,0,BRAN,1,BRAN,1
BRNE,Black Brant,Branta bernicula nigricans,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BLGU,Black Guillemot,Cepphus grylle,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
