INPUT,COMMON,SCIENTIFIC,QAQC,WBPHS,WBPHS_EST
ABDU,American Black Duck,Anas rubripes,ABDU,ABDU,1
AGWT,American Green-winged Teal,Anas crecca carolinensis,GWTE,GWTE,1
AMCO,American Coot,Fulican americana,AMCO,AMCO,1
COOT,American Coot,Fulican americana,AMCO,AMCO,1
AMWI,American Wigeon,Mareca americana,AMWI,AMWI,1
BAEA,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0
BAEAA,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0
BAEAa,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0
BAEAI,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0
BAEAi,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0
BAEAIM,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0
BAEAN,Bald Eagle,Haliaeetus leucocephalus,XXXX,XXXX,0
BAEAn,Bald Eagle,Haliaeetus leucocephalus,BAEA,BAEA,0
BANE,Bald Eagle,Haliaeetus leucocephalus,XXXX,XXXX,0
BAEANEST,Bald Eagle nest,Haliaeetus leucocephalus,XXXX,XXXX,0
BAGO,Barrow's Goldeneye,Bucephala islandica,GOLD,GOLD,1
BEAR,Bear,Ursus spp.,XXXX,XXXX,0
BLBR,Black Brant,Branta bernicula nigricans,BRAN,BRAN,1
BRAN,Black Brant,Branta bernicula nigricans,BRAN,BRAN,1
BLSC,Black Scoter,Melanitta americana,BLSC,BLSC,1
BLSC1,Black Scoter,Melanitta americana,BLSC,BLSC,1
BLSC2,Black Scoter,Melanitta americana,BLSC,BLSC,1
BWTE,Blue-winged Teal,Spatula discors,BWTE,BWTE,1
CITE,Cinnamon Teal,Spatula cyanoptera,CITE,CITE,1
BUFF,Bufflehead,Bucephala albeola,BUFF,BUFF,1
CCGO,Cackling/Canada Goose,Branta hutchinsii/canadensis,CCGO,CCGO,1
CAGO,Canada Goose,Branta canadensis,CCGO,CCGO,1
CANV,Canvasback,Aythya valisineria,CANV,CANV,1
CARIBOU,Caribou,Rangifer tarandus,XXXX,XXXX,0
COEI,Common Eider,Somateria mollissima,COEI,COEI,1
COGO,Common Goldeneye,Bucephala clangula,GOLD,GOLD,1
COLO,Common Loon,Gavia immer,COLO,COLO,1
COME,Common Merganser,Mergus merganser,COME,COME,1
CORA,Common Raven,Corvus corax,XXXX,XXXX,0
RAVE,Common Raven,Corvus corax,XXXX,XXXX,0
DCGO,Dusky Canada Goose,Branta canadensis occidentalis,DCGO,DCGO,1
EMGO,Emperor Goose,Anser canagicus,EMGO,EMGO,1
END,End count,N/A,END,END,0
ENDCOUNT,End count,N/A,END,END,0
endcount,End count,N/A,END,END,0
ENDSEG,End count,N/A,END,END,0
endseg,End count,N/A,END,END,0
EUWI,Eurasian Wigeon,Mareca penelope,EUWI,EUWI,1
GADW,Gadwall,Mareca strepera,GADW,GADW,1
GOEA,Golden Eagle,Aquila chrysaetos,GOEA,GOEA,0
GOEAn,Golden Eagle,Aquila chrysaetos,GOEA,GOEA,0
GRSC,Greater Scaup,Aythya marila,UNSC,UNSC,1
GWFG,Greater White-fronted Goose,Anser albifrons,GWFG,GWFG,1
WFGO,Greater White-fronted Goose,Anser albifrons,GWFG,GWFG,1
GWTE,Green-winged Teal,Anas crecca,GWTE,GWTE,1
HADU,Harlequin Duck,Histrionicus histrionicus,HADU,HADU,0
HARD,Harlequin Duck,Histrionicus histrionicus,HADU,HADU,0
HOGR,Horned grebe,Podiceps auritus,HOGR,HOGR,1
KIEI,King Eider,Somateria spectabilis,KIEI,KIEI,1
LESC,Lesser Scaup,Aythya affinis,UNSC,UNSC,1
LTDU,Long-tailed Duck,Clangula hyemalis,LTDU,LTDU,1
OLDS,Long-tailed Duck,Clangula hyemalis,LTDU,LTDU,1
MALL,Mallard,Anas platyrhynchos,MALL,MALL,1
NONE,No birds seen on segment,Marker,NONE,NONE,0
NoBirdsSeen,No birds seen on segment,Marker,NONE,NONE,0
AIRFIELD,Marker,Marker,XXXX,XXXX,0
Landing,Marker,Marker,XXXX,XXXX,0
POND,Pond,N/A,XXXX,XXXX,0
STRE,Stream,N/A,XXXX,XXXX,0
MOOSE,Moose,Alces alces,XXXX,XXXX,0
MOOSECALF,Moose,Alces alces,XXXX,XXXX,0
MOOSESCALF,Moose,Alces alces,XXXX,XXXX,0
MOOSECOW,Moose,Alces alces,XXXX,XXXX,0
