yr,mo,da,se,obs,strat,tran,seg,dir,wind,wspd,sky,wavfile,lat,long,ctime,lag,sppn,grp,unit
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8357,-163.6625,60162.6,0.65,BEGT,1,open
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8361,-163.6753,60178.8,0.68,LTDU,1,single
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8364,-163.6864,60192.7,0.66,PALO,1,open
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8369,-163.7562,60280.1,0.29,WIPT,1,open
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8363,-163.8158,60355.7,1.99,BLSC,1,pair
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8374,-163.8491,60397.2,1.92,GWTE,1,pair
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8374,-163.8491,60397.2,1.92,GOLD,1,pair
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8375,-163.9019,60463.7,0.18,PALO,1,open
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8374,-163.9034,60467.6,1.77,PALO,1,open
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8374,-163.94,60514.5,2.44,PALO,2,open
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8383,-163.9746,60556,0.07,PALO,1,open
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8383,-163.984,60568.8,1.28,RTLO,2,open
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8377,-164.0089,60601.2,1.22,NOPI,1,single
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8385,-164.0979,60712.6,0.5,BLSC,1,pair
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8385,-164.0979,60712.6,0.5,BLSC,1,single
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8385,-164.0979,60712.6,0.5,BLSC,1,single
2017,5,25,rr,tkz,na,1,na,271,w,15,scattered clouds,YKD17006,59.8386,-164.1288,60752.5,1.05,ENDT,1,open
2017,5,25,rr,tkz,na,2,na,91,w,15,scattered clouds,YKD17007,59.9552,-164.2027,61067.5,1.65,BEGT,2,open
2017,5,25,rr,tkz,na,2,na,91,w,15,scattered clouds,YKD17007,59.9539,-164.1509,61118.2,0.36,LTDU,1,single
2017,5,25,rr,tkz,na,2,na,91,w,15,scattered clouds,YKD17007,59.9533,-164.1354,61136.3,2.24,RTLO,2,open
2017,5,25,rr,tkz,na,2,na,91,w,15,scattered clouds,YKD17007,59.9534,-164.1295,61140.7,0.81,SCAU,1,pair
2017,5,25,rr,tkz,na,2,na,91,w,15,scattered clouds,YKD17007,59.9535,-164.1137,61156.7,0.64,SCAU,1,pair
2017,5,25,rr,tkz,na,2,na,91,w,15,scattered clouds,YKD17007,59.953,-164.0676,61203.3,1.05,PALO,1,open
2017,5,25,rr,tkz,na,2,na,91,w,15,scattered clouds,YKD17007,59.9537,-164.0492,61220.8,1.2,NOPI,1,single
2017,5,25,rr,tkz,na,2,na,91,w,15,scattered clouds,YKD17007,59.9538,-164.0431,61226.2,0.8,ENDT,2,open
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9537,-164.0253,61244.9,1.01,BEGT,3,open
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9537,-164.0253,61244.9,1.01,NSHO,1,single
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9534,-164.0116,61259,1.22,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9535,-163.9981,61273.2,1.55,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9534,-163.9727,61299.1,0.92,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9529,-163.9468,61325.5,1.91,BLSC,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9529,-163.9468,61325.5,1.91,BLSC,1,single
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9529,-163.919,61351.7,0.33,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9529,-163.919,61351.7,0.33,LTDU,1,single
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9522,-163.8596,61412.6,1.16,RTLO,2,open
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9522,-163.8556,61419.5,3.44,SCAU,1,single
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.952,-163.8056,61467.5,1.71,PALO,1,open
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9522,-163.7634,61509.4,1.98,PALO,1,open
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.952,-163.7533,61518.2,0.36,PALO,1,open
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9514,-163.733,61538.2,0.73,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9514,-163.733,61538.2,0.73,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9514,-163.733,61538.2,0.73,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9514,-163.733,61538.2,0.73,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9513,-163.7291,61542.3,0.13,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9513,-163.7291,61542.3,0.13,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9512,-163.7251,61547.8,2.13,SCAU,1,pair
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9511,-163.6816,61590.3,0.78,SCAU,1,single
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9501,-163.6165,61654.5,0.24,PALO,1,open
2017,5,25,rr,tkz,na,3,na,91,w,15,scattered clouds,YKD17007,59.9498,-163.5006,61769.4,1.99,ENDT,3,open
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0644,-163.8703,62337.5,1.35,BEGT,4,open
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0687,-164.0021,62501.4,3.3,SCAU,1,pair
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0688,-164.007,62505.8,1.98,SCAU,1,pair
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0693,-164.0318,62535,1.11,RBME,1,pair
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0694,-164.0748,62587.7,1.82,LTDU,1,pair
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0685,-164.1089,62627.7,0.24,SCAU,1,single
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0685,-164.1761,62711.3,1.81,PALO,1,open
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0688,-164.2122,62754,0.64,WIPT,1,open
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0688,-164.2169,62761.1,0.83,PALO,1,open
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0688,-164.233,62780.4,0.43,GWTE,1,single
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0713,-164.3405,62909.7,0.14,BLSC,1,pair
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0713,-164.3405,62909.7,0.14,BLSC,1,pair
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0714,-164.3438,62914.8,0.63,MALL,1,single
2017,5,25,rr,tkz,na,4,na,272,w,15,scattered clouds,YKD17008,60.0716,-164.3583,62931.6,0.02,ENDT,4,open
2017,5,25,rr,tkz,na,5,na,91,w,15,scattered clouds,YKD17009,60.1276,-164.4486,63162.3,0.71,BEGT,5,open
