yr,mo,da,se,obs,strat,tran,seg,dir,wind,wspd,sky,wavfile,lat,long,ctime,lag,sppn,grp,unit,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8357,-163.6626,60162.1,0.55,BEGT,1,open,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8364,-163.6859,60191.3,0.81,CAGO,1,single,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8364,-163.6859,60191.3,0.81,SACR,1,single,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8364,-163.6859,60191.3,0.81,WFGO,2,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8364,-163.6859,60191.3,0.81,WFGO,2,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8364,-163.6859,60191.3,0.81,WFGO,2,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8369,-163.754,60276.9,0.71,WFGO,1,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8369,-163.754,60276.9,0.71,WFGO,1,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8369,-163.7573,60281.8,1.02,WFGO,1,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8369,-163.7612,60286.5,1.09,WFGO,1,single,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8369,-163.7612,60286.5,1.09,WFGO,15,open,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8369,-163.766,60292.2,1.01,SACR,1,single,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8369,-163.766,60292.2,1.01,WFGO,1,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8369,-163.766,60292.2,1.01,WFGO,1,single,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8366,-163.7715,60299,0.89,WFGO,2,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8364,-163.7756,60304.8,0.83,WFGO,1,single,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.836,-163.7818,60311.6,0.78,WFGO,1,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8363,-163.8153,60353.2,0.66,WFGO,1,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8372,-163.8321,60374.4,1.05,WFGO,1,pair,
2017,5,25,lf,hmw,na,1,na,271,270,15_KTS,2500 BRKN LT RAIN,YKG17005,59.8373,-163.8384,60382,0.52,WFGO,1,pair,
