sppn,should.be,itot
AGWT,AGWT,1
GWTE,AGWT,1
TEAL,AGWT,1
UNTE,AGWT,1
AMRO,AMRO,0
AMWI,AMWI,1
WIGE,AMWI,1
ARTE,ARTE,0
ARTEN,ARTE,0
RHAU,AUKL,0
WHAU,AUKL,0
BAEA,BAEA,0
BAEAI,BAEA,0
BAEAIM,BAEA,0
BEAD,BAEA,0
BEIM,BAEA,0
BA.N,BAEAN,0
BAEAN,BAEAN,0
BANE,BAEAN,0
BE.N,BAEAN,0
BENE,BAEAN,0
BASW,BASW,0
BEKI,BEKI,0
BLBN,BLBR,1
BLBR,BLBR,1
BLNE,BLBR,1
BR.N,BLBR,1
BRAN,BLBR,1
BRNE,BLBR,1
BLGU,BLGU,0
BLKI,BLKI,0
KITI,BLKI,0
BLOY,BLOY,0
BLSC,BLSC,1
BLSC1,BLSC,1
BLSC2,BLSC,1
BLSCH,XXXX,1
COSC,BLSC,1
BUFF,BUFF,0
BWTE,BWTE,0
CAAU,CAAU,0
ALGO,CAGO,1
CA.N,CAGO,1
CAGN,CAGO,1
CAGO,CAGO,1
CAGON,CAGO,1
SCGO,CAGO,1
SCGON,CAGO,1
CANV,CANV,0
CACG,CCGO,1
CC.N,CCGO,1
CCGO,CCGO,1
CCNE,CCGO,1
CEIH,XXXX,1
CEJV,COEI,1
COEH,XXXX,1
COEI,COEI,1
COEIH,XXXX,1
COEIY,COEI,1
COHE,COEI,1
COJV,COEI,1
UCOE,COEI,1
UCOH,XXXX,1
COLO,COLO,0
COLOB,COLO,0
COLON,COLO,0
CORA,CORA,0
CORAN,CORA,0
CR.N,CORA,0
NORA,CORA,0
RAVE,CORA,0
CORM,CORM,0
DCCO,CORM,0
PECO,CORM,0
RFCO,CORM,0
UNCO,CORM,0
CRAU,CRAU,0
CROW,CROW,0
DCGO,DCGO,0
DCGON,DCGO,0
EM.N,EMGO,1
EMGN,EMGO,1
EMGO,EMGO,1
EMNE,EMGO,1
end,ENDPT,0
END,ENDPT,0
ENDCOUNT,ENDPT,0
ENDPT,ENDPT,0
ENDT,ENDPT,0
TEND,ENDPT,0
EUWI,EUWI,0
FALC,FALC,0
GYRF,FALC,0
MERL,FALC,0
PAFA,FALC,0
PEFA,FALC,0
AFOX,FOX,0
ARFO,FOX,0
FOX,FOX,0
FOXA,FOX,0
